_u1.systype,_u1.region,_u1.team,_u1.hdvoice_valid_user_cnt,_u1.lte_valid_user_cnt,_u1.new_hdv_cfi_value,_u1.new_hdv_cfi_qoe1_value,_u1.new_hdv_cfi_qoe2_value,_u1.new_hdv_cfi_qoe3_value,_u1.new_hdv_cfi_qoe4_value,_u1.new_hdv_cfi_qoe1_qos1_value,_u1.new_hdv_cfi_qoe1_qos2_value,_u1.new_hdv_cfi_qoe2_qos1_value,_u1.new_hdv_cfi_qoe3_qos1_value,_u1.new_hdv_cfi_qoe4_qos1_value,_u1.new_hdv_cfi_qoe4_qos2_value,_u1.new_hdv_cfi_qoe4_qos3_value,_u1.new_hdv_cfi_qoe1_qos3_value,_u1.new_hdv_cfi_qoe1_qos4_value,_u1.new_data_cfi_value,_u1.new_data_nei_qoe1_value,_u1.new_data_nei_qoe2_value,_u1.new_data_cfi_qoe3_value,_u1.new_data_cfi_qoe4_value,_u1.new_data_cfi_qoe5_value,_u1.new_data_cfi_qoe1_qos1_value,_u1.new_data_cfi_qoe1_qos2_value,_u1.new_data_cfi_qoe1_qos3_value,_u1.new_data_cfi_qoe1_qos4_value,_u1.new_data_cfi_qoe1_qos5_value,_u1.new_data_cfi_qoe2_qos1_value,_u1.new_data_cfi_qoe2_qos2_value,_u1.new_data_cfi_qoe2_qos3_value,_u1.new_data_cfi_qoe3_qos1_value,_u1.new_data_cfi_qoe3_qos2_value,_u1.new_data_cfi_qoe4_qos1_value,_u1.new_data_cfi_qoe5_qos1_value,_u1.new_data_cfi_qoe5_qos2_value,_u1.new_data_cfi_qoe5_qos3_value,_u1.new_data_sei_qoe1_value,_u1.new_data_sei_qoe2_value,_u1.new_data_cei_qoe1_qos8_value,_u1.new_data_cei_qoe2_qos1_value,_u1.new_data_cei_qoe2_qos2_value,_u1.new_data_cei_qoe2_qos3_value,_u1.new_data_cfi_qoe1_qos6_value,_u1.new_data_cfi_qoe2_qos6_value,_u1.hdv_bad_user_cnt,_u1.lte_bad_user_cnt,_u1.hdv_bad_valid_user_cnt,_u1.lte_bad_valid_user_cnt,_u1.new_data_nei_value,_u1.new_data_sei_value,_u1.wcdr_cei_value,_u1.dt
4G,강원,ALL,255832.0,560950.0,84.24906091587067,85.74021965279147,85.53047766765812,82.9723848792349,82.75316146379822,98.90927459457049,88.15474289628919,99.64863011392222,82.9723848792349,83.01128370064025,99.68905162607426,99.62460306337974,99.21909465705016,99.53800052789671,84.59988635681788,89.05249211687105,86.18062109601917,83.14391047484686,84.3363820989191,85.50827426659785,89.75398735812557,91.91315202504799,96.73994395825054,99.56841936732545,93.50573118478083,99.39609324289636,89.09978765069873,98.54545840162848,83.14391047484686,86.9129,84.3363820989191,87.90349639544273,97.64171253245247,99.62460306337974,82.78341437096093,82.56554820527603,99.8497247656868,99.98096381030747,99.99651476665973,99.3637685888129,99.21842442669929,97.31138099080518,907.0,749.0,907.0,749.0,85.97132448858372,83.22844822505202,91.02367295541723,2.0220911E7
4G,인천,ALL,1039824.0,2413982.0,83.79755482295639,86.18580382736369,85.72313615463943,78.46684546808044,84.81443384174199,98.79886911069968,89.05205451674927,99.604642629787,78.46684546808044,85.19779877050802,99.5500295379712,99.65425790299633,98.92015916406186,99.41228522496243,84.90907809353797,90.49616330611266,84.83694999608927,84.5648681207848,83.30858606166278,86.65959716040364,91.14204538579604,89.54367132663201,97.2633469482762,99.68736142077697,94.97119496338554,99.27913709307859,88.61901951065937,99.34144210154986,84.5648681207848,86.2297,83.30858606166278,89.8757557440766,96.75607693191932,99.65425790299633,82.45483182743098,83.7728667345913,99.89132473804055,99.98153138114826,99.9636669040598,99.74787575108823,99.29134563861342,96.4273234767375,3307.0,2599.0,3307.0,2599.0,86.63939464584759,83.17876154122835,92.23935181023195,2.0220911E7
4G,전북,ALL,262712.0,595117.0,85.39008478668377,87.42774792312197,85.78281907164663,82.16593017109956,86.18384198086694,98.94760955381086,89.5698528064186,99.65217165320828,82.16593017109956,86.38820837498473,99.76343253557165,99.4496832222523,99.51004984878456,99.52335538031369,84.7850491656381,89.71722197772266,84.69891086246724,84.48949022210913,82.27682357233303,88.73266284982608,90.36595084923741,91.20044090148052,96.29128759885492,99.85123888278869,94.07333366621323,99.42737070013669,88.34638180330842,98.57657449024147,84.48949022210913,86.4251,82.27682357233303,90.90233282206353,98.15333989460457,99.4496832222523,82.49049771792156,83.21425926948021,99.94841036103695,99.99039947854259,99.99644808565401,99.29528097294916,99.28210917340198,96.42354696712955,701.0,702.0,701.0,702.0,86.90957147803127,82.66052685324493,93.10656367578935,2.0220911E7
4G,충남,ALL,681536.0,1131693.0,85.18765715641001,87.90932493095558,85.89206649117524,82.41607221015525,84.53316499335396,98.81839123164478,90.08374053480885,99.62149504074392,82.41607221015525,84.78483423703297,99.70316714546446,99.66848186758443,99.51972389285994,99.59610789327088,85.00908086607522,90.41229934928064,84.9150956868896,85.2302333333442,81.97295095381567,87.19567760493395,91.02863913400626,92.419488675379,97.3520965744465,99.71369407608911,94.1225184963521,99.40283747117081,88.34915384050362,98.65028542605903,85.2302333333442,86.5738,81.97295095381567,89.51168582024914,97.73663381546821,99.66848186758443,84.4417481052545,82.8248066565449,99.90051553016524,99.98806460307854,99.96927264721425,99.43871498987019,99.32291662207727,96.690482473308,2027.0,1027.0,2027.0,1027.0,86.9383264936121,83.07983523853835,91.87393000854492,2.0220908E7
4G,경기,ALL,1257699.0,2242134.0,82.97908614938342,85.81578164727206,85.60628962660746,76.96871431812487,83.52555900552935,98.63855967102336,88.80912068516147,99.50412491170395,76.96871431812487,83.92578804303679,99.52311554429228,99.65705431915308,98.88215102485086,99.46586120516878,84.55290528429293,90.21114032998986,84.97982440412392,83.91243245747192,82.2309426677052,85.42524440558697,90.86999382063492,90.87283099119409,97.55037175303923,99.68519568460034,94.192620338082,99.20607068416943,88.3200492199659,99.36027301803433,83.91243245747192,86.0043,82.2309426677052,88.74162377248098,96.59414726284346,99.65705431915308,83.23587152048727,83.45413631968563,99.89056853190012,99.9800253673422,99.95175262886838,99.73061700728762,99.27494933922243,96.98806131380347,4808.0,3386.0,4808.0,3386.0,86.13216039929317,82.9736501692927,92.04002167625583,2.0220908E7
4G,전남,ALL,746040.0,1037848.0,85.07972092713786,87.93155665644129,85.49621680765118,81.83285681478667,85.05825342967228,98.86740273356806,90.10667028728426,99.5750079482203,81.83285681478667,85.32288545918509,99.6898463664366,99.45328689955255,99.53703633460646,99.53674814673667,84.6380603339252,88.68899615230781,84.43709947074097,83.33151010320694,82.19235492713632,87.38752462644365,89.30462610327537,92.2436140025767,97.17387604265981,99.87638878205483,94.58648047539481,99.44920675652217,87.7654632060873,98.52038332584809,83.33151010320694,86.4905,82.19235492713632,89.98523489956996,97.64703075963321,99.45328689955255,84.67939235992831,83.07276695196201,99.95714759037932,99.98823552455838,99.99604556508042,98.27134170748056,99.31064046978304,96.74050132084685,2157.0,1182.0,2157.0,1182.0,85.96128258817484,83.31483807967555,92.25197726446562,2.0220908E7
4G,강원,ALL,295713.0,462719.0,85.27147682589569,87.0839677308315,85.57419286410719,85.39757091440616,83.03017579423786,98.91412761499855,89.4184759078405,99.67881940363719,85.39757091440616,83.28850612048407,99.68983676346348,99.61937382682083,99.27777385285722,99.56476691483347,84.92853185088455,89.39659957306148,86.4323918068367,83.46499265674277,83.45375577401542,85.75743775514091,90.041410448896,92.41005243430571,97.27266758500369,99.73163561631429,93.93342436351189,99.41608544026843,89.40465771878492,98.54411573746324,83.46499265674277,86.9129,83.45375577401542,88.15952331205898,97.64696648019331,99.61937382682083,84.20989759745318,83.1189713900024,99.90677365196218,99.98062650439019,99.99686134891506,99.3995612594086,99.28387297286899,97.24330881654566,883.0,569.0,883.0,569.0,86.26285544794547,83.59420825382365,91.37953300580455,2.0220908E7
4G,경기,ALL,878153.0,2071286.0,83.08846805174086,85.6268299688632,85.7484275211077,76.78081063416667,84.19780408282585,98.66857190084318,88.63709597179233,99.60108807036625,76.78081063416667,84.66850769189226,99.4440629439469,99.65498038192229,98.89862898825533,99.41309698133799,84.40788966227365,89.8627234682517,84.96304431559867,84.21113305305556,83.05831108816957,85.65584737806635,90.54916684314934,87.98165466349724,96.91741583134231,99.7830945183893,95.0135470536905,99.23787052527341,88.43237943217107,99.26712673844042,84.21113305305556,86.0043,83.05831108816957,89.40840846492894,96.13458230168652,99.65498038192229,80.84188865190787,84.02757707233522,99.92470510022365,99.95631093767406,99.95877737313464,99.68697741221528,99.24191088794146,96.8147031364384,3044.0,2298.0,3044.0,2298.0,86.17318705374308,82.64259227080422,91.7353983815945,2.0220912E7
4G,전남,ALL,583166.0,1000033.0,84.72907553819289,87.19924465135082,85.61956086242712,80.58751161168827,85.5099850273053,98.8706328478691,89.41480952805571,99.61923308571335,80.58751161168827,85.74457687553284,99.72640619759768,99.44330940608309,99.5383914295146,99.50143485861916,84.5174231932673,88.97304679422942,84.64893154792495,83.62612778938542,82.50887863702177,87.957332568145,89.64123849390042,90.29617115934644,96.40290808687712,99.87573357894554,95.00897850009888,99.46265961078528,88.0342065547797,98.41501405153552,83.62612778938542,86.4905,82.50887863702177,90.35154803187221,97.89508402227332,99.44330940608309,82.60077102723814,83.09081047058032,99.95692004821997,99.98822798929781,99.99672125382956,98.20021736368614,99.25459340935313,96.67406010603284,1739.0,1085.0,1739.0,1085.0,86.3013596749212,82.73348671161341,92.00493437536532,2.0220912E7
4G,충남,ALL,506551.0,1086582.0,84.90335477376483,86.88472466197176,86.03214299329518,81.47324995965084,85.22330148014156,98.80714697818632,89.09621025052222,99.7150460499855,81.47324995965084,85.48796337655625,99.69041033853046,99.6741370934346,99.52941776233654,99.56145870841767,84.7446677621553,90.25630718328395,84.76974339571355,85.38811409845054,82.53732258487813,87.72503745200795,90.92154062283096,90.04692670695061,96.43449006117778,99.77482884241148,94.41337336170109,99.41392087904948,88.45429916374243,98.57105248195386,85.38811409845054,86.5738,82.53732258487813,90.12914324955798,97.65080661334288,99.6741370934346,81.80046827810526,83.02581411285644,99.92182660239608,99.98808548436244,99.97335048555462,99.36614724172847,99.26834341456379,96.39948637852963,1498.0,1014.0,1498.0,1014.0,87.034800532364,82.4545349919466,91.93761970577783,2.0220912E7
